demande_id,region,prefecture,commune,quartier,type_document,categorie_document,nombre_demandes,delai_traitement_jours,taux_rejet,date_demande,motif_demande,statut_demande,canal_demande,age_demandeur,sexe_demandeur
autres,centrale,sotouboua,sotouboua,nyékonakpoé,carte d'identité,identité,168,1,0.0,2023-09-30,perte,rejetée,en ligne,27,m
autres,kara,binah,pagouda,hôpital,carte d'identité,identité,17,22,0.09,2023-12-22,vol,traitee,en ligne,21,f
autres,plateaux,ogou,atakpamé,bè,certificat de nationalité,identité,104,4,0.08,2023-08-13,concours,traitee,en ligne,18,m
autres,savanes,oti,mango,amoutivé,carte d'identité,identité,92,39,0.02,2023-06-08,première demande,rejetée,guichet,64,m
autres,maritime,zio,tsévié,adidogomé,livre de famille,civil,138,7,0.12,2023-02-02,détérioration,rejetée,en ligne,30,m
autres,savanes,tone,dapaong,nyékonakpoé,carte d'identité,identité,157,22,0.15,2023-04-02,vol,traitee,en ligne,82,f
autres,savanes,oti,mango,golfe,carte d'identité,identité,25,9,0.01,2023-10-05,vol,rejetée,guichet,53,m
autres,maritime,golfe,lomé,golfe,livre de famille,civil,192,45,0.04,2023-06-21,perte,traitee,en ligne,83,m
autres,centrale,tchaoudjo,sokodé,hôpital,passeport,voyage,177,4,0.08,2023-02-08,perte,traitee,guichet,29,m
autres,kara,kozah,kara,tokoin,livre de famille,civil,21,15,0.1,2023-11-09,détérioration,en cours,en ligne,70,f
autres,maritime,golfe,adidogome,hôpital,casier judiciaire,judiciaire,145,31,0.15,2023-10-30,emploi,en cours,guichet,39,f
autres,kara,binah,pagouda,kodjoviakopé,livre de famille,civil,140,19,0.13,2023-05-18,nouveau mariage,traitee,guichet,83,f
autres,centrale,sotouboua,sotouboua,golfe,livre de famille,civil,102,37,0.06,2023-06-25,perte,rejetée,guichet,37,f
autres,savanes,tone,dapaong,golfe,casier judiciaire,judiciaire,11,18,0.12,2023-04-30,emploi,traitee,en ligne,70,m
autres,kara,binah,pagouda,hôpital,passeport,voyage,27,33,0.07,2023-12-25,perte,rejetée,guichet,53,m
autres,centrale,tchaoudjo,sokodé,amoutivé,casier judiciaire,judiciaire,127,5,0.1,2023-11-13,voyage,traitee,guichet,67,m
autres,maritime,vo,vogan,hôpital,passeport,voyage,61,24,0.04,2023-02-21,voyage,traitee,en ligne,30,f
